,0
a,1.1050632199189556
a_std,1.121616234779502
a_subj.1,1.0947431449119764
a_subj.2,1.0611946888018096
a_subj.3,1.079469061610078
a_subj.4,1.0369362777080264
a_subj.5,1.1234384584748913
a_subj.6,1.0156504834476832
a_subj.7,1.0337410947319172
a_subj.8,1.251149549736707
a_subj.9,1.0024092135135032
a_subj.10,1.1246705676590198
a_subj.11,1.0285974603467016
a_subj.12,1.04790256307336
a_subj.13,1.1830383492156367
a_subj.14,1.101516893062414
a_subj.15,1.2643942737409697
a_subj.16,1.2788287764093198
a_subj.17,1.4585407359838458
a_subj.18,1.094267182465588
a_subj.19,1.0262696738349473
a_subj.20,0.976574527076268
a_subj.21,1.1692893159593378
a_subj.22,1.1187235184684277
a_subj.23,1.0093253158974016
a_subj.24,1.0192598371688637
a_subj.25,1.0233382164674358
a_subj.26,1.0433903328745187
a_subj.27,1.055079202927461
a_subj.28,1.0409293746618393
a_subj.29,1.1159352817338855
a_subj.30,1.0773489399234235
a_subj.31,1.257047420030469
a_subj.32,1.2059100242838574
a_subj.33,1.0202254308885421
a_subj.34,1.1697191235674456
a_subj.35,1.0511379309731537
a_subj.36,1.0222605291949896
a_subj.37,1.1127193771299038
a_subj.38,1.0563127177216824
a_subj.39,1.1727753806371195
a_subj.40,1.0286168435861551
a_subj.41,0.9930248639345345
v,1.0546179549491583
v_std,1.088365219907046
v_subj.1,1.145359948856981
v_subj.2,1.0545996446378356
v_subj.3,1.044626753986738
v_subj.4,1.0775060956811617
v_subj.5,1.0828255300012515
v_subj.6,1.066780352970522
v_subj.7,1.057883676255335
v_subj.8,1.0303449782040965
v_subj.9,1.0463151566991866
v_subj.10,1.0521140020958817
v_subj.11,1.0983824038284367
v_subj.12,1.0760853081500628
v_subj.13,1.103100326786634
v_subj.14,1.044432257879621
v_subj.15,1.0829941333405795
v_subj.16,1.0616195470381966
v_subj.17,1.0721446057962654
v_subj.18,1.0648488730293117
v_subj.19,1.0742724393769683
v_subj.20,0.9883754815246585
v_subj.21,1.1345396420783387
v_subj.22,1.0913599869451494
v_subj.23,1.0752859207957761
v_subj.24,1.062923324393251
v_subj.25,0.9974193860243311
v_subj.26,1.0486663634664388
v_subj.27,1.0607475345108512
v_subj.28,0.9946410413657706
v_subj.29,1.0692638979697162
v_subj.30,1.0314395281195452
v_subj.31,1.076782474865821
v_subj.32,1.0843322442184355
v_subj.33,1.0593327910647414
v_subj.34,1.0831023844107373
v_subj.35,1.0838443252444037
v_subj.36,1.062968555511143
v_subj.37,1.0489418146930303
v_subj.38,1.0251422259559393
v_subj.39,1.1004520194136702
v_subj.40,1.0605584396583936
v_subj.41,1.057284994567433
t,1.145600836424646
t_std,1.0303112377015544
t_subj.1,1.0577699469547497
t_subj.2,1.0321718302091507
t_subj.3,1.0706520536454627
t_subj.4,1.0116671598228246
t_subj.5,1.2419559725571652
t_subj.6,1.0486994731629797
t_subj.7,1.0017784809022128
t_subj.8,1.168853061209323
t_subj.9,1.077021426537398
t_subj.10,1.06250041512589
t_subj.11,1.1061346679065946
t_subj.12,1.0025271125001427
t_subj.13,1.0876435379234644
t_subj.14,1.164000374104048
t_subj.15,1.2119412594983645
t_subj.16,1.2200040457805015
t_subj.17,1.5007344289109785
t_subj.18,1.1853130165687866
t_subj.19,1.0098619166266969
t_subj.20,1.005060583396466
t_subj.21,1.1059914760103893
t_subj.22,1.1145025693606219
t_subj.23,1.0704207737895508
t_subj.24,1.0173584444254908
t_subj.25,1.0618375262331927
t_subj.26,1.127204741501765
t_subj.27,1.186346233584651
t_subj.28,1.0210821909477987
t_subj.29,1.0630397832966791
t_subj.30,1.2829224036925446
t_subj.31,1.3491200836925763
t_subj.32,1.0208905099416763
t_subj.33,1.2488427450337836
t_subj.34,1.0301572072664544
t_subj.35,1.2231734151135423
t_subj.36,1.082410810346945
t_subj.37,1.098531769599206
t_subj.38,1.0276919758481264
t_subj.39,1.0553136570893153
t_subj.40,1.0878993912347612
t_subj.41,0.9981317601859981
z_trans,1.7152013079714763
z_std,1.4722183455060858
z_subj_trans.1,1.3007101480405503
z_subj_trans.2,1.5560102669782125
z_subj_trans.3,1.342710388360241
z_subj_trans.4,1.2861907060188513
z_subj_trans.5,1.621866572200309
z_subj_trans.6,1.355838360632433
z_subj_trans.7,1.2712563160611243
z_subj_trans.8,1.2715756212530571
z_subj_trans.9,1.3367538045640548
z_subj_trans.10,1.1626441559857543
z_subj_trans.11,1.5760044238114488
z_subj_trans.12,1.314632370047133
z_subj_trans.13,1.2478249306083846
z_subj_trans.14,1.5990369478479742
z_subj_trans.15,1.4556020594988464
z_subj_trans.16,1.3719564650962626
z_subj_trans.17,1.2873078195843148
z_subj_trans.18,1.5900694193030485
z_subj_trans.19,1.374544509884849
z_subj_trans.20,1.1147138720302971
z_subj_trans.21,1.4523428594476457
z_subj_trans.22,1.4704027648947233
z_subj_trans.23,1.1602060768976472
z_subj_trans.24,1.4020510733023335
z_subj_trans.25,1.1592880200642706
z_subj_trans.26,1.502834859205459
z_subj_trans.27,1.4455920345621485
z_subj_trans.28,1.2802964691717424
z_subj_trans.29,1.2859035443621407
z_subj_trans.30,1.2355548344822473
z_subj_trans.31,1.584062599514047
z_subj_trans.32,1.3261247774013791
z_subj_trans.33,1.3964147252657355
z_subj_trans.34,1.7093607841465164
z_subj_trans.35,1.3811037161790038
z_subj_trans.36,1.283407285521168
z_subj_trans.37,1.434137977807344
z_subj_trans.38,1.4179496842980022
z_subj_trans.39,1.2236831273582636
z_subj_trans.40,1.2947133922365988
z_subj_trans.41,1.3446362826732956
